"requirement_id","source_artifact","source_representative","srs_section","use_case_id","prototype","domain_model","test_case_id","nfr_link","change_or_review_link","trace_status"
"REQ-STU-01","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.1","UC-STU-01","main-chat-mobile.fig","Student;Course;CourseSchedule","TC-STU-01","NFR-PERF;NFR-SEC","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-02","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.2","UC-STU-02","main-chat-mobile.fig","Student;Exam","TC-STU-02","NFR-PERF;NFR-SEC","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-03","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.3","UC-STU-03","main-chat-mobile.fig","Student;Grade","TC-STU-03","NFR-SEC;NFR-PRIV","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-04","需求获取记录(RG);JAD会议记录","陈鹏宇","SRS 3.4","UC-STU-04","procedure-flow.fig","KnowledgeEntry;Procedure","TC-STU-04","NFR-USAB;NFR-MAINT","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-05","问卷;需求获取记录(RG)","陈鹏宇","SRS 3.5","UC-STU-05","main-chat-mobile.fig","KnowledgeEntry;Facility","TC-STU-05","NFR-USAB","CR-08;CR-13","闭环"
"REQ-STU-06","师生访谈记录;教师确认记录","陈鹏宇;杨成","SRS 3.6","UC-STU-06","main-chat-mobile.fig","Teacher","TC-STU-06","NFR-PRIV","CR-08;CR-13","闭环"
"REQ-STU-07","问卷;JAD会议记录","陈鹏宇","SRS 3.7","UC-STU-07","main-chat-mobile.fig","Classroom;Schedule","TC-STU-07","NFR-PERF","CR-08;CR-13","闭环"
"REQ-STU-08","问卷;教务资料","陈鹏宇","SRS 3.8","UC-STU-08","main-chat-mobile.fig","Calendar","TC-STU-08","NFR-USAB","CR-08;CR-13","闭环"
"REQ-STU-09","师生访谈记录","陈鹏宇","SRS 3.9","UC-STU-09","main-chat-mobile.fig","Student;Credit","TC-STU-09","NFR-SEC;NFR-PRIV","CR-08;CR-13","闭环"
"REQ-STU-10","问卷","陈鹏宇","SRS 3.10","UC-STU-10","main-chat-mobile.fig","Activity","TC-STU-10","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-02","研究生访谈;学院资料","研究生代表","SRS 3.11","UC-GRA-02","main-chat-mobile.fig","Teacher;ResearchArea","TC-GRA-02","NFR-PRIV","CR-08;CR-13","闭环"
"REQ-GRA-03","研究生访谈;培养办资料","研究生代表","SRS 3.12","UC-GRA-03","main-chat-mobile.fig","TrainingPlan","TC-GRA-03","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-04","研究生访谈","研究生代表","SRS 3.13","UC-GRA-04","main-chat-mobile.fig","ThesisProcess","TC-GRA-04","NFR-USAB","CR-08;CR-13","闭环"
