标题,工作项类型,负责人,状态,关联,关注者,截止日期,开始当前工作项才可开始的后置影响,开始当前工作项才可完成的后置影响,开始当前工作项需先开始的前置依赖,开始当前工作项需先完成的前置依赖,描述,任务的来源需求,所属项目,完成当前工作项才可开始的后置影响,完成当前工作项才可完成的后置影响,完成当前工作项需先开始的前置依赖,完成当前工作项需先完成的前置依赖,优先级
必填项。必填项不能为空，否则整行不予导入。,必填项。必填项不能为空，编辑工作项时不支持修改此属性，否则整行不予导入。,必填项。输入项目中成员昵称或邮箱，如张三或 zhangsan@email.com，若项目中有重名成员则选中最早加入该项目的成员。错填整行不予导入。,必填项。新建工作项时输入为空，则以初始状态填入。编辑工作项时输入为空，则不做修改。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入项目中成员昵称或邮箱，如张三或 zhangsan@email.com，若项目中有重名成员则选中最早加入该项目的成员。未填写将设置你为关注者，错填整行不予导入。填写多个值时，请用“；”符号隔开。,可选项。请按1)YYYY-MM-DD格式 2)YYYY/MM/DD 格式 3)YYYY.MM.DD 格式填写。例如：1)2050-05-17 2)2050/05/17 3)2050.05.17。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,必填项。必填项不能为空，编辑工作项时不支持修改此属性，否则整行不予导入。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。输入工作项 ID 或标题。如输入工作项 ID，请按“项目标识-数字”格式输入，如DEV-123。填写多个值时，请用“；”符号隔开。,可选项。可选值：最高；较高；普通；较低；最低。
REQ-STU-01 课程查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-STU-01；原类型：功能需求；适用角色：学生；来源：学生访谈;问卷;JAD；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：能够按自然语言查询课程时间、地点、教师，含异常提示和权限校验；用例：UC-STU-01；测试用例：TC-STU-01；变更引用：CR-05;CR-08;CR-13；标签：学生服务;教务接口,,校务问答机器人,,,,,最高
REQ-STU-02 考试安排查询,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-STU-02；原类型：功能需求；适用角色：学生；来源：学生访谈;问卷;JAD；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：能够返回考试时间、地点、座位及提醒入口，接口异常时有降级提示；用例：UC-STU-02；测试用例：TC-STU-02；变更引用：CR-05;CR-08;CR-13；标签：学生服务;教务接口,,校务问答机器人,,,,,最高
REQ-STU-03 成绩查询与分析,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-STU-03；原类型：功能需求；适用角色：学生；来源：学生访谈;问卷；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：认证后展示本人授权范围内成绩，拒绝越权访问并记录日志；用例：UC-STU-03；测试用例：TC-STU-03；变更引用：CR-05;CR-08;CR-13；标签：学生服务;隐私,,校务问答机器人,,,,,最高
REQ-STU-04 办事流程指引,任务,yzy,已完成,,,2026/5/23,,,,,需求编号：REQ-STU-04；原类型：功能需求；适用角色：学生；来源：学生访谈;JAD；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：MVP；验收标准：按事项返回办理步骤、材料、部门和联系方式，未命中时进入反馈闭环；用例：UC-STU-04；测试用例：TC-STU-04；变更引用：CR-05;CR-08;CR-13；标签：学生服务;知识库,,校务问答机器人,,,,,最高
REQ-STU-05 校园设施信息查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-STU-05；原类型：功能需求；适用角色：学生；来源：问卷;学生访谈；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回图书馆、食堂、校医院等设施位置、开放时间和注意事项；用例：UC-STU-05；测试用例：TC-STU-05；变更引用：CR-08;CR-13；标签：学生服务;知识库,,校务问答机器人,,,,,较高
REQ-STU-06 教师信息查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-STU-06；原类型：功能需求；适用角色：学生；来源：学生访谈;教师确认；来源代表：陈鹏宇;杨成；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回教师公开信息和联系方式边界，不展示未授权个人信息；用例：UC-STU-06；测试用例：TC-STU-06；变更引用：CR-08;CR-13；标签：学生服务;教师信息,,校务问答机器人,,,,,较高
REQ-STU-07 空闲教室查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-STU-07；原类型：功能需求；适用角色：学生；来源：问卷;JAD；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：按时间和教学楼查询空闲教室，数据不可用时提示人工确认；用例：UC-STU-07；测试用例：TC-STU-07；变更引用：CR-08;CR-13；标签：学生服务;教室资源,,校务问答机器人,,,,,较高
REQ-STU-08 校历查询,任务,yzy,已完成,,,2026/5/30,,,,,需求编号：REQ-STU-08；原类型：功能需求；适用角色：学生；来源：问卷;教务资料；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：V1.1；验收标准：返回教学周、节假日、考试周和重要日期，注明数据来源；用例：UC-STU-08；测试用例：TC-STU-08；变更引用：CR-08;CR-13；标签：学生服务;校历,,校务问答机器人,,,,,较高
REQ-STU-09 学分统计查询,任务,yzy,已完成,,,2026/6/12,,,,,需求编号：REQ-STU-09；原类型：功能需求；适用角色：学生；来源：学生访谈；来源代表：陈鹏宇；基线版本：SRS-BASELINE-V1.0；计划发布：V1.2；验收标准：展示学分完成情况和毕业要求差距，必须完成认证授权；用例：UC-STU-09；测试用例：TC-STU-09；变更引用：CR-08;CR-13；标签：学生服务;学业,,校务问答机器人,,,,,普通
